"Member.ID","Cross.Betweenness.Norm","Start.Date","End.Date"
"MEM0528",0,1948-01-01,1948-12-31
"MEM0545",0.0601513975155279,1948-01-01,1948-12-31
"MEM0226",0,1948-01-01,1948-12-31
"MEM0481",0,1948-01-01,1948-12-31
"MEM0565",0,1948-01-01,1948-12-31
"MEM0047",0.000594530321046373,1949-01-01,1949-12-31
"MEM0068",0.523262178434592,1949-01-01,1949-12-31
"MEM0111",0,1949-01-01,1949-12-31
"MEM0167",0,1949-01-01,1949-12-31
"MEM0199",0,1949-01-01,1949-12-31
"MEM0048",0,1949-01-01,1949-12-31
"MEM0102",0,1949-01-01,1949-12-31
"MEM0112",0,1949-01-01,1949-12-31
"MEM0125",0.151322122190137,1949-01-01,1949-12-31
"MEM0135",0.148267554148096,1949-01-01,1949-12-31
"MEM0140",0,1949-01-01,1949-12-31
"MEM0143",0,1949-01-01,1949-12-31
"MEM0156",0,1949-01-01,1949-12-31
"MEM0165",0,1949-01-01,1949-12-31
"MEM0168",0,1949-01-01,1949-12-31
"MEM0188",0,1949-01-01,1949-12-31
"MEM0220",0.240626710454296,1949-01-01,1949-12-31
"MEM0225",0,1949-01-01,1949-12-31
"MEM0230",0,1949-01-01,1949-12-31
"MEM0231",0,1949-01-01,1949-12-31
"MEM0016",0,1949-01-01,1949-12-31
"MEM0049",0,1949-01-01,1949-12-31
"MEM0110",0,1949-01-01,1949-12-31
"MEM0008",0,1949-01-01,1949-12-31
"MEM0053",0,1949-01-01,1949-12-31
"MEM0083",0,1949-01-01,1949-12-31
"MEM0164",0,1949-01-01,1949-12-31
"MEM0205",0,1949-01-01,1949-12-31
"MEM0019",0,1949-01-01,1949-12-31
"MEM0044",0.0995696732914332,1949-01-01,1949-12-31
"MEM0187",0.240626710454296,1949-01-01,1949-12-31
"MEM0190",0,1949-01-01,1949-12-31
"MEM0192",0,1949-01-01,1949-12-31
"MEM0210",0,1949-01-01,1949-12-31
"MEM0114",0,1949-01-01,1949-12-31
"MEM0206",0,1949-01-01,1949-12-31
"MEM0215",0,1949-01-01,1949-12-31
"MEM0163",0,1949-01-01,1949-12-31
"MEM0179",0,1949-01-01,1949-12-31
"MEM0073",0,1949-01-01,1949-12-31
"MEM0521",1.29711189792009,1949-01-01,1949-12-31
"MEM0469",0,1949-01-01,1949-12-31
"MEM0369",0,1949-01-01,1949-12-31
"MEM0505",0.437943862889981,1949-01-01,1949-12-31
"MEM0508",0.0163690476190476,1949-01-01,1949-12-31
"MEM0546",0,1949-01-01,1949-12-31
"MEM0438",0,1949-01-01,1949-12-31
"MEM0357",0,1949-01-01,1949-12-31
"MEM0541",0,1949-01-01,1949-12-31
"MEM0239",0,1949-01-01,1949-12-31
"MEM0301",0,1949-01-01,1949-12-31
"MEM0303",0,1949-01-01,1949-12-31
"MEM0242",0.0837643678160921,1949-01-01,1949-12-31
"MEM0340",0,1949-01-01,1949-12-31
"MEM0309",0.29063685100477,1949-01-01,1949-12-31
"MEM0307",0,1949-01-01,1949-12-31
"MEM0281",0,1949-01-01,1949-12-31
"MEM0249",0,1949-01-01,1949-12-31
"MEM0312",0,1949-01-01,1949-12-31
"MEM0482",0.119934123074517,1949-01-01,1949-12-31
"MEM0313",0.0983806126493405,1949-01-01,1949-12-31
"MEM0446",0,1949-01-01,1949-12-31
"MEM0526",0.987494746461799,1949-01-01,1949-12-31
"MEM0535",0,1949-01-01,1949-12-31
"MEM0485",0.704364346313234,1949-01-01,1949-12-31
"MEM0416",0,1949-01-01,1949-12-31
"MEM0487",0.508722406917583,1949-01-01,1949-12-31
"MEM0258",0,1949-01-01,1949-12-31
